Unique ID,Name,URL,Organisations,,,,Typology,Keywords / theme,Platform/Portal/Real time analysis/Tool,Description,"Primary role (data provision (access and viz), decision support, custom analytics, action maps) etc",,,,Data sources,"Level of data access (visualisation only, lin to underlying data, direct download)","Technology (open source, licenced, api, web services ertc)",,,Country,Spatial scale,Commodity data,Update frequency,Intended users,Training required for use? (capacity building),,Availability,,,,,,,,,,,,,,,,Unique ID check,
99 TTI,United Nations Office on Drugs and Crime,https://www.unodc.org/unodc/en/wildlife-and-forest-crime/index.html,UNDOC,,,,Other - Statistics,Trade; Wildlife;crime;forest,,"UN Agency - Preventing and tackling wildlife and forest crime is essential for sustaining all life on Earth... On land and under water, nature is under threat because of poaching and over-exploitation. Organized crime and corruption are among the many drivers of biodiversity loss. Addressing them requires targeted action and international cooperation.",,,,,,,,,,,,Live animals; timber,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data animal skins,,,,,,,,,,,99 TTI,
100 TTI,World Economic Forum,https://www.weforum.org/platforms/shaping-the-future-of-trade-and-global-economic-interdependence,World Economic Forum,World Trade Organisation,,,Other - initiative/organisation,Trade,,"Working to support debate and collaborative action on international trade and investment for recovery, growth and sustainable development. Our Platform works with a range of stakeholders to inform business and policy debate on critical trade and investment issues. We drive practical collaborative steps for growth and development, critical now more than ever.
The Platform currently focuses on trade shocks, tensions and governance; digital trade; new questions around industrial policy, tax and competition; investment and trade facilitation to poorer nations; and embedding sustainability into the future of value chains. ",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data animal skins,,,,,,,,,,,100 TTI,
101 TTI,WTO International trade and market access data,https://www.wto.org/english/res_e/statis_e/statis_bis_e.htm,,,,,Visualisation / dashboard,Trade,,"This application aims to illustrate all available WTO trade statistics through graphs and charts in an interactive manner. The application features all data on merchandise and commercial services trade, and data published on the WTO Tariff Profiles. The application also has links to the existing available WTO general information on tariffs and the ""Made in the World Initiative (MIWI). It has 3 major dashboards: the Trade, Trends and Tariffs Dashboard.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,101 TTI,
102 TTI,Statistics Canada,https://www150.statcan.gc.ca/n1/pub/13-605-x/prod-eng.htm,Statistics Cananda,,,,Data portal,Trade; Canada,,"Statistics Canada produces statistics that help Canadians better understand their country—its population, resources, economy, society and culture.",,,,,,,,,,Canada,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data beef,,,,,,,,,,,102 TTI,
104 TTI,Import key,importkey.com ,,,,,Data portal,Trade,,"Our artificially intelligent, data-driven software provides you the advantage you need using aggregated and searchable US import data and US customs data necessary to make powerful investment decisions.",,,,,,,,,,United States,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data wildlife,,,,,,,,,,,104 TTI,
105 TTI,Kenya Data Portal,kenya.opendataforafrica.org ,Kenya National Bureau of Statistics; African Development Bank,,,African Development Bank,Data portal,Trade; Kenya,,,,,,,,,,,,Kenya,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,105 TTI,
106 TTI,Knoema,knoema.com ,,,,,Data services; Visualisation / dashboard,Trade,,"Knoema is the most comprehensive source of global decision-making data in the world. Our tools allow individuals and organizations to discover, visualize, model, and present their data and the world’s data to facilitate better decisions and better outcomes. ",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,106 TTI,
107 TTI,Trade stat Express,http://tse.export.gov/TSE/TSEhome.aspx,International Trade Administration US Department of Commerce,,,,Other - Statistics; Data portal; Visualisation / dashboard,Trade,,"TradeStats Express displays the latest annual U.S. merchandise trade statistics -
At national and state levels.
In maps, graphs, and tables.
As exports, imports, and trade balances.
Custom-tailored to your year and dollar ranges and display preferences.  
It is divided into two main sections: National Trade Data and State Export Data. For each section, the basic tools (for example, choosing product classifications, downloading the data, seeing a print preview) are the same. ",,,,,,,,,,United States,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Tanzania,,,,,,,,,,,107 TTI,
108 TTI,Open data for Malawi,malawi.opendataforafrica.org ,Reserve Bank of Malawi; African Development Bank,,,African Development Bank,Data portal,Trade; Malawi,,,,,,,,,,,,Malawi,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data rubber,,,,,,,,,,,108 TTI,
109 TTI,Malawi trade information portal,https://mitc.mw/trade/,Malawi Investment and Trade Centre,,,,Data portal; Digital reports; Data services; Database,Trade; Malawi,,"Trade Information / Business Information Unit is a section under the Planning and Research Directorate at the Malawi Investment and Trade Centre (MITC). It is responsible for identifying, selecting, processing, storing and disseminating relevant trade / business information for use within the institution and the public at large. The scope of Trade Information products provided by the unit includes business processes, product and market information, market reports, alerts of business opportunities, guides to doing business in a sector or in a country, international prices, technical standards, trade agreements, trade policy and strategy, trade support institutions, trade shows and events.The unit offers a wide range of Trade Information services and facilities such as inquiry –reply, information product development and dissemination, information research, reference services, internet, printing services and product displays. The unit has both printed information products and online resources. Printed sources include newsletters, business magazines, brochures, trade directories while online resources include MITC’s Trade Information Portal, MITC website and internal and external databases. you can access  trade data on the export performance of Malawian key products, complete trade statistics of Malawi through the Trade Map - Malawi service of the National Statistical Office as well as global trade data from a number of global sources.

Export Performance section provides data and analytics of Malawi's export performance on selected export products.

Trade Map - Malawi provides access to a searchable database of Malawi's up-to-date trade statistics. Users are able to make their own queries and extraction of trade data.

Resources for Global Trade Data provides a collection of useful resources on global trade data from a number of global sources. Each of the resoueces are accessible through external links and users are advised to access these on their own accord and cognizance of related risks.",,,,,,,,,,Malawi,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data coffee,,,,,,,,,,,109 TTI,
110 TTI,USDA Foreign Agricultural Service Export sales query ,https://apps.fas.usda.gov/esrquery/,United States Department of Agriculture Foreign Agricultural Service,,,,Data portal,Trade; USA; agriculture,,"Weekly exports, latest reports. USDA's Export Sales Reporting Program monitors U.S. agricultural exports on a daily and weekly basis.

Export sales reports provide a constant stream of up-to-date information about 39 U.S. agricultural commodities sold abroad. A single statistic reveals the significance of the program: in a typical year, it monitors more than 40 percent of all U.S. agricultural exports.

The program also serves as an early alert on the possible effects of foreign sales on U.S. supplies and prices. The weekly U.S. Export Sales report is the most current source of U.S. export sales data. The data are used to analyze the overall level of export demand, determine where markets exist, and assess the relative position of U.S. commodities in those markets.",,,,,,,,,,USA,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term:,,,,,,,,,,,110 TTI,
111 TTI,"USDA Production, Supply and Distribution",https://apps.fas.usda.gov/psdonline/app/index.html#/app/home,United States Department of Agriculture Foreign Agricultural Service,,,,Data portal; Digital reports,Trade; USA; agriculture,,"Downloadable files containing official statistics are generated when each commodity's data is released. These data files include all attributes, countries and years pertaining to a particular commodity. Current world Production, Market and Trade Reports, and other data Publications",,,,,,,,,,USA,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term:,,,,,,,,,,,111 TTI,
113 TTI,Open Africa,open.africa ,,,,,Flexible analysis platform; Other - repository; Other - initiative/organisation; Digital reports,Trade,,"openAFRICA aims to be the largest independent repository of open data on the African continent. 
openAFRICA is not a government portal. Instead, it’s a grassroots initiative, maintained by Code for Africa, as a public service. The platform is available as a free resource for ordinary citizens, civil society organisations, civic activists, the media, and government agencies.
You can upload your data to openAFRICA either to store it, or to make it available to a wider public. You can also download data already on openAFRICA for re-use in your own projects. We are happy to help you both upload and re-use data.
Much of the data on openAFRICA has been liberated by pioneering organisations, volunteers or activists, and is an eclectic collection that is far from comprehensive. You will, however, find datasets here that are difficult to access elsewhere. If there is crucial data that you can't find here or elsewhere, get in touch and we might be able to help you extricate it.
All the data on openAFRICA is intended to be actionable. The data is meant to help you change the world. We want you to analyse it, visualise it, share it, and build tools or services with it.
openAFRICA is maintained by Code for Africa, with additional support from Amazon Web Services (AWS) and the World Bank. Individual datasets or data collections on openAFRICA may receive support from additional partners.",,,,,,,,,,,Continental Africa,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data wildlife,,,,,,,,,,,113 TTI,
114 TTI,Our World in Data,ourworldindata.org ,Oxford Martin Programme on Global Development,University of Oxford; Global Change Data Lab,,,Visualisation / dashboard; Digital reports,Trade,,"The goal of our work is to make the knowledge on the big problems accessible and understandable. As we say on our homepage, Our World in Data is about Research and data to make progress against the world’s largest problems.To understand issues that are affecting billions, we need data. We need to carefully measure what we care about and make the results accessible in an understandable and public platform. This allows everyone to see the state of the world today and track where we are making progress, and where we are falling behind. The publication we are building has this goal. Through interactive data visualizations we can see how the world has changed; by summarizing the scientific literature we can understand why.",,,,,,,,,,Global,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,114 TTI,
88,Trase,https://trase.earth/,Global Canopy Programme; Stockholm Environment Institute,Vizzuality; EFI,,GEF; WWF; EU; Gordon and Betty Moore Foundation; The Nature Conservancy; UK Aid; FORMAS; NICFI,Decision-support tool,Trade,Platform,"Transparent supply chains for sustainable economies: follow trade flows to identify sourcing regions, profile supply chain risks and assess opportunities for sustainable production.",,,,,,,,,,,,Coffee; Palm oil; Soy; Beef; Shrimp; Cocoa; Corn; Wood pulp; Chicken; Pork; Cotton; Sugar,,,,,,,,,http://resources.trase.earth/documents/Trase_supply_chain_mapping_manual.pdf,Digital Ecosystem for the Planet,,,,,,,,,,,88,
115 TTI,Resource trade.earth,resourcetrade.earth,Chatham House,Global Landscapes Initiative,Applied Works,MAVA; UK Aid; Institute on the Environment University of Minnesota,Visualisation / dashboard; Other - Statistics,Trade,,"resourcetrade.earth has been developed by Chatham House to enable users to explore the fast-evolving dynamics of international trade in natural resources, the sustainability implications of such trade, and the related interdependencies that emerge between importing and exporting countries and regions.

The trade data on this site are from the Chatham House Resource Trade Database (CHRTD). The CHRTD is a repository of bilateral trade in natural resources between more than 200 countries and territories. The database includes the monetary values and masses of trade in over 1,350 different types of natural resources and resource products, including agricultural, fishery and forestry products, fossil fuels, metals and other minerals, and pearls and gemstones. It contains raw materials, intermediate products, and by-products.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,115 TTI,
116 TTI,The Ricardo Project,http://ricardo.medialab.sciences-po.fr/#/,,,,,Database; Visualisation / dashboard,Trade; Historical,,RICardo (Research on International Commerce) is a project dedicated to trade between nations over a period spanning the beginning of the Industrial Revolution to the eve of the Second World War. It combines a historical trade database covering all of the world’s countries and a website which invites to an exploration of the history of international trade through data visualizations.,,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,116 TTI,
117 TTI,Santander Trade,santandertrade.com ,Santander,,,,Data services,Trade,,"Santander Trade Portal provides information on international trade and specialty services to help assist you in your global operations.
Explore new markets
Engage in Business
Manage Trade Operations (Including Customs Clearance instructions). The website provides an extensive library of trade information and a wide range of services and solutions to help companies develop on a global level.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Cameroon,,,,,,,,,,,117 TTI,
118 TTI,Supporting Economic Transformation (SET),set.odi.org ,Overseas Development Institute,"African Centre for Economic Transformation; South Asia Watch on Trade, Economics and Environment; Kenya Association of Manufacturers; The Centre for New Structural Economics; The Nigerian Economic Sumit Group; ESRF; New Climate Economy; REPOA; IAS; UNECA; TFPRI; OECD; CDRI",,,Data portal; Digital reports; Other - initiative/organisation,Trade,,"The SET programme aims  to promote economic transformation through high quality analysis, policy advice,  and convening stakeholders. One core area of work is data: bringing together data relevant for the analysis of economic transformation in an accessible online portal",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,118 TTI,
119 TTI,Seychelles Data Portal,seychelles.opendataforafrica.org ,National Bureau of Statistics Seychelles; ,,,African Development Bank,Data portal; Visualisation / dashboard; Other - Statistics,Trade,,,,,,,,,,,,Seychelles,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data coffee,,,,,,,,,,,119 TTI,
120 TTI,Soy Canada,soycanada.ca ,Soy Canada,,,,Other - Statistics,Trade; Soy; Canada,,"As a full value-chain organization, Soy Canada fosters better communication, collaboration and knowledge throughout the Canadian soybean industry. Our team approach helps all partners move forward with greater speed and purpose, and with a continual focus on customer needs.",,,,,,,,,,Canada,,Soy,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data soybeans,,,,,,,,,,,120 TTI,
121 TTI,World Trade Organisation,https://www.wto.org/english/res_e/statis_e/statis_e.htm,,,,,Data portal,Trade,,"The WTO provides quantitative information in relation to economic and trade policy issues. Its data-bases and publications provide access to data on trade flows, tariffs, non-tariff measures (NTMs) and trade in value added.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data China,,,,,,,,,,,121 TTI,
122 TTI,Sudamerico,sudamerico.com,,,,,Data portal; Visualisation / dashboard,Trade,,"Sudamerico is a french company, founded in 2014  with the aim of filling a gap in the market of  international business.


We are not a multinational consulting firm accessible only to global corporations. We are a small team of young, motivated collaborators, and our goal is to use our data and our expertise to  help any company, no matter its size, resources or organization to succeed.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,122 TTI,
124 TTI,Trade Monitoring Database,tmdb.wto.org ,World Trade Organisation,,,,Database,Trade,,"The WTO trade monitoring exercise is about providing transparency regarding new trade and trade policy related measures. It is a factual, non-legal exercise. Each year two Trade Monitoring Reports are circulated. These Reports are developed in close cooperation with WTO Members. Twice a year, in July and December respectively, WTO Members undertake an interactive peer review at the WTO Headquarters. The trade measures covered by the WTO trade monitoring exercise include trade facilitating as well as trade restrictive measures. The exercise also presents regular-up-to date accounts in the areas of Trade remedies, SPS, TBT, Agriculture, Services and Intellectual Property.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Cameroon,,,,,,,,,,,124 TTI,
125 TTI,Tanzania data portal,tanzania.opendataforafrica.org ,Tanzania National Bureau of Statistics,,,African Development Bank,Data portal; Other - Statistics; Visualisation / dashboard,Trade; Tanzania,,,,,,,,,,,,Tanzania,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Tanzania,,,,,,,,,,,125 TTI,
126 TTI,Trade Facilitation Agreement database,tfadatabase.org ,World Trade Organisation,,,,Database,Trade,,Access resources to track and analyse WTO Members' commitments under the TFA:,,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Democratic republic of Congo,,,,,,,,,,,126 TTI,
127 TTI,The Netherlands Environmental Assessment Agency,https://www.pbl.nl/en,The Netherlands Environmental Assessment Agency,,,,Visualisation / dashboard; Digital reports,Trade; Netherlands,,"PBL Netherlands Environmental Assessment Agency is the national institute for strategic policy analysis in the fields of the environment, nature and spatial planning.
We contribute to improving the quality of political and administrative decision-making by conducting outlook studies, analyses and evaluations in which an integrated approach is considered paramount. Policy relevance is the prime concern in all of our studies. We conduct solicited and unsolicited research that is independent and scientifically sound.",,,,,,,,,,Netherlands,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,127 TTI,
21,CITES Trade Database,http://trade.cites.org,UNEP-WCMC; CITES Secretariat,,UNEP-WCMC on behalf of the CITES Secretariat,Unspecified,Data source,Trade,Export and import data of CITES species,Visualization and report on trade; and economic complexity ranking.,,,,,UNEP-WCMC; governments; CITES Secretariat,,,,,,Global; National,Live animals,,Governments,User guide available,,x,/,x,Daily,,"Puspitaloka,D., Pumomo, H. and Ekadinata, A. (2019) in TRADE Hub Indonesia. 2019. TRADE Hub Indonesia Scoping Studies. TRADE Hub.",,,,,,,,,,,21,
129 TTI, country-profile ,trade4devnews.enhancedif.org,Enhanced Integrated Framework,,,,Other - initiative/organisation,Trade,,"Launched in February 2018, Trade for Development News (managed by the Enhanced Integrated Framework) focuses on the trade stories of least developed countries. We regularly publish relevant and engaging pieces from thought leaders in the fields of trade, finance, international development and more.
Topics we are interested in concern the 47 least developed countries and four recently graduated countries, trade policy changes, innovations in trade and development support, and what has worked and what hasn’t on the ground. We also publish pieces on globally critical themes like the environment, agriculture, women, conflict and technology.
Our mission is to fill a much-needed gap in the trade conversation by foregrounding least developed countries and facilitating dialogue that sits at the nexus of lived experience, development efforts and trade enhancements. By amplifying such discussions, our ultimate goal is to contribute to poverty alleviation and job creation in the countries that need it most.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Democratic republic of Congo,,,,,,,,,,,129 TTI,
130 TTI,International Trade Council,tradecouncil.org ,,,,,Data source,Trade,,"The International Trade Council tracks freight movements around the world, enabling our members to see exactly what’s happening in international trade.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Cameroon,,,,,,,,,,,130 TTI,
132 TTI,United States Census,https://www.census.gov/foreign-trade/index.html,United States Census Bureau (US Department of Commerce),,,,Other - Statistics; Visualisation / dashboard,Trade; USA,,"FOREIGN TRADE is the official source for U.S. export and import statistics and responsible for issuing regulations governing the reporting of all export shipments from the United States. If you're searching for import or export statistics, information on export regulations, commodity classifications, or a host of other trade related topics, this is the place to get the information you need.",,,,,,,,,,USA,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Tanzania,,,,,,,,,,,132 TTI,
133 TTI,UNCTAD e-Handbook of Statistics,https://stats.unctad.org/handbook/,UNCTAD,,,,Other - Statistics; Digital reports,Trade,,"The UNCTAD Handbook of Statistics 2019 provides a wide range of statistics and indicators relevant to the analysis of international trade, investment, maritime transport and development. Reliable statistical information is indispensable for formulating sound policies and recommendations that may commit countries for many years as they strive to integrate into the world economy and improve the living standards of their citizens.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data wildlife,,,,,,,,,,,133 TTI,
134 TTI,UNCTAT STAT,https://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx,UNCTAD,,,,Data portal; Visualisation / dashboard; Other - Statistics,Trade,,"All statistics of UNCTAD are harmonized and integrated into UNCTADstat- free to use dissemination platform. It gives access to basic and derived indicators built upon common rules, harmonized environment and clear methodology supported by powerful data browsing system.

The statistical series are regularly updated and classified into easy-to-navigate themes. UNCTADstat offers ready-to-use analytical groupings, with a unique coverage for countries and products and a particular focus on developing and transition economies. This approach ensures data consistency across multiple data series, and enables users to harness its full potential by mixing and matching data from various domains.

The navigation browser allows table or graphic presentations, easy selection and reorganization of data, personalized functionalities and several straightforward extraction options.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term:,,,,,,,,,,,134 TTI,
135 TTI,UN statistics,unstats.un.org ,United Nations Statistics Division (UNSD),,,,Data portal,Trade,,"The United Nations Statistics Division is committed to the advancement of the global statistical system. We compile and disseminate global statistical information, develop standards and norms for statistical activities, and support countries' efforts to strengthen their national statistical systems. We facilitate the coordination of international statistical activities and support the functioning of the United Nations Statistical Commission as the apex entity of the global statistical system.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Cameroon,,,,,,,,,,,135 TTI,
136 TTI,"USDA Economics, Statistics and Market Information System (ESMIS)",usda.library.cornell.edu ,,,,,Digital reports,Trade,,"The USDA Economics, Statistics and Market Information System (ESMIS) contains over 2,100 publications from five agencies of the U.S. Department of Agriculture (USDA). These materials cover U.S. and international agriculture and relatedtopics. Mann Library at Cornell University developed and maintains this site.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data coffee,,,,,,,,,,,136 TTI,
137 TTI,Global Trade Tracker,https://www.globaltradetracker.com/start/,Zen Innovations AG,,,,Other - Statistics,Trade,,"Global Trade Tracker offers you a state-of-the-art Web-based service that gives access to original trade statistics from the world's principal trading countries. Unlike some other services, GTT does not manipulate the data in any way – giving you a clear, objective picture of the trade flows you need to know about.

 

Currently close to 200 countries and growing report to Global Trade Tracker. Statistics are obtained from the official customs or national statistics office of each country.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data live animals,,,,,,,,,,,137 TTI,
138 TTI,Verigates,verigates.bureauveritas.com ,,,,,Data services; Digital reports,Trade,,"Verigates is a web platform dedicated to pre-shipment inspection programmes operated by Bureau Veritas, Government Services & International Trade Division",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Democratic republic of Congo,,,,,,,,,,,138 TTI,
139 TTI,Coalition to end wildlife trafficking online,wildlifetradetracker.org,WWF; TRAFFIC; IFAW,,,,Other - initiative/organisation,Trade; Wildlife,,"Advances in technology and connectivity across the world, combined with rising buying power and demand for illegal wildlife products, have increased the ease of exchange from poacher to consumer. As a result, a largely unregulated online market allows criminals to sell illegally obtained wildlife products across the globe. Purchasing elephant ivory, tiger cubs, and pangolin scales is as easy as click, pay, ship. Fortunately, the world’s biggest e-commerce, technology, and social media companies have joined forces to shut down online marketplaces for wildlife traffickers. The Coalition to End Wildlife Trafficking Online brings together companies from across the world in partnership with wildlife experts at WWF, TRAFFIC, and IFAW for an industry-wide approach.",,,,,,,,,,,,Live animals,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data wildlife,,,,,,,,,,,139 TTI,Previously wildlife trade tracker?
141 TTI,World Trade Daily,worldtradedaily.wordpress.com ,,,,,Digital reports; Data services,Trade; Markets; company,,Private company,,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data soybeans,,,,,,,,,,,141 TTI,
142 TTI,Australian Department of Agriculture,https://www.agriculture.gov.au/abares/research-topics/agricultural-outlook/data#agricultural-commodities,"Department of Agriculture, Water and the Environment Australian Government",,,,Data portal; Other - Statistics,Trade; Australia,,"The Australian Bureau of Agricultural and Resource Economics and Sciences is the research arm of the Australian Government Department of Agriculture, Water and the Environment.

Our mission is to provide professionally independent data, research, analysis and advice that informs public and private decisions affecting Australian agriculture, fisheries and forestry. We work at the interface between research and policy, with strong connections to agricultural, fisheries and forest industries, with strengths across agricultural and natural resource economics and sciences. 

ABARES undertakes a number of different activities:

data collection and management, including undertaking farm, forestry and fisheries surveys, publishing official statistics nationally and internationally, and ensuring the discoverability, accessibility and usability of our data holdings
forecasting the price, volume and value of Australian agricultural output, for a wide range of farm, fishery, and forestry commodities
undertaking and publishing public good research and analysis on issues of relevance to Australian agricultural, forestry and fisheries policy and industries
providing analysis and advice directly to the Australian Government Department of Agriculture, Water and the Environment, and other government agencies.
We also convene the ABARES national Outlook conference and about five regional Outlook conferences each year, and participate in a wide range of expert workshops, technical committees, and conferences in Australia and overseas.",,,,,,,,,,Australia,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data live animals,,,,,,,,,,,142 TTI,
143 TTI,International bamboo and Rattan Organisation,"www.airca.org › airca-resources › other-articles › 24-
gGl..lobal.",,,,,Database,Trade,,Based on UN COMTRADE,,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data bamboo,,,,,,,,,,,143 TTI,
144 TTI,USA Trade Online,https://usatrade.census.gov/,,,,,Data source; Visualisation / dashboard,Trade,,"Provided by the U.S. Census Bureau, USA Trade® Online is a dynamic data tool that gives users access to current and cumulative U.S. export and import data.  With multiple data sets and capabilities, USA Trade® Online can assist different types of customers from a wide range of industries and fields.  Manufacturers and other businesses wishing to expand their business globally can utilize USA Trade® Online to identify new markets, evaluate existing markets, and perform other market research tasks. The data available through this tool can also support economists in interpreting economic news and performing academic research, as well assist governments and federal agencies in analyzing domestic and international trade policies.
This powerful software allows users to create customized reports and colorful charts detailing international trade data at different levels. All data are updated each month with the release of the latest U.S. International Trade in Goods and Services Report. ",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data wildlife,,,,,,,,,,,144 TTI,
145 TTI,Beaureau of Economic analysis,www.bea.gov ,US Department of Commerce,,,,Other - Statistics,Trade,,"BEA's interactive data application is the one stop shop for accessing BEA data on the fly. The interactive application makes it easier to access and use our statistics by providing a common look and feel for users accessing national, international, regional or industry statistics. The application makes the data easier to print, save and export. The charting features are robust and visually appealing. The application also allows for data sharing with others via a number of social tools.
BEA updates its data in near real time. During BEA news releases there might be a slight delay in accessing the most recent data but access to supplemental data files is always available.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Cameroon,,,,,,,,,,,145 TTI,
146 TTI,Export Genius,www.brazilexim.com ,,,,,Data portal,Trade,,Private company,,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Brazil,,,,,,,,,,,146 TTI,
147 TTI,Cameroon Trade Hub,www.cameroontradehub.cm ,,,,,Other - Statistics,Trade,,"The main objective of the Cameroon Trade Hub is to provide users, investors and any other interested person with information relating to foreign trade and international transport in the Republic of Cameroon",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Cameroon,,,,,,,,,,,147 TTI,
148 TTI,CEIC,www.ceicdata.com ,,,,,Database; Data portal; Data services; Flexible analysis platform,Trade,,"Private company. CEIC's product suite combined with it's cutting edge CDMNext platform enable you to seamlessly integrate more than 6.6 million macroeconomic time series, covering 200+ economies, into your workflow. Our products allow you to effortlessly compare global markets as well as zero in on the deepest emerging markets data available. CEIC Data’s Global Database has been the gold standard for knowledge on markets around the world since 1992. With access to such a vast database, users can gain insight into the ever-changing dynamics of world economies on a level of depth unrivaled by any other competitor.",,,,,,,,,,Global;Brazil;China;India;Indonesia;Russia,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data animal skins,,,,,,,,,,,148 TTI,
149 TTI,Cepea,https://www.cepea.esalq.usp.br/en/search-in-the-website-database.aspx,,,,,Database,Trade,,"Cepea is the economic research center at Esalq (“Luiz de Queiroz” College of Agriculture), USP (University of São Paulo), in Piracicaba. The Center develops research regarding economic, financial, social and environmental aspects of about 30 agribusiness supply chains. Cepea aims to contribute for a more efficient and sustainable management of agribusiness, providing, at the same time, scientific information and analyses  for policymakers focused on the development of the sector and, as a result, of Brazil.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Brazil,,,,,,,,,,,149 TTI,
150 TTI,Cepii,http://www.cepii.fr/CEPII/en/bdd_modele/bdd_modele.asp,CEPII,,,,Database; Data portal; Digital reports; Other - Statistics,Trade,,"The CEPII is the leading French center for research and expertise on the world economy. It contributes to the policy making process trough its independent in-depth analyses on international trade, migrations, macroeconomics and finance. The CEPII also produces databases and provides a platform for debate among academics, experts, practitioners, decision makers and other private and public stakeholders.
Founded in 1978, the CEPII is part of the network coordinated by France Strategy, within the Prime Minister's services. CEPII gathers et harmonises data from different sources, produces indicators and statistical measures. Data and figures are available online as well as interactive panorama of 80 countries",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,150 TTI,
151 TTI,CIS Countries Trade Data,www.cistradedata.com ,,,,,Data portal,Trade,,"We are a global market research leader and the best choice of CIS (Commonwealth of Independent States) trade data including Kazakhstan, Russia, Ukraine and Uzbekistan.
We are associated to Export Genius, which began business journey in 2011.
We are expert in transforming CIS trade data into information and information into insight.",,,,,,,,,,"Uzbekistan, Russia, Kazakhstan, Ukraine,",,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data animal skins,,,,,,,,,,,151 TTI,
